,Value
Total Return,0.5098293422956723
Annualized Return,0.40867656793594787
Volatility (Annualized),0.5821165151712931
Sharpe Ratio,0.8777338436803369
Sortino Ratio,1.3152854474231839
Maximum Drawdown,-0.5215849326023805
Calmar Ratio,0.783528323751434
VaR (95%),-0.05828905452548078
CVaR (95%),-0.08334162666688145
Win Rate,0.5247524752475248
Best Day,0.19152068165551162
Worst Day,-0.13716047637660206
