Strategy,Total Return,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Equal Weight,0.5098293422956723,0.40867656793594787,0.5821165151712931,0.8777338436803369,-0.5215849326023805
Max Sharpe,7.25894201343969,4.78882744471965,1.045074087902108,2.184631214021537,-0.6831933231143102
Min Volatility,0.6453623071541783,0.5130771966165044,0.3979902446026734,1.238126175296349,-0.29014451215894
Max Return,0.8919972585359295,0.6994567678477119,0.41085454976257185,1.4949350244218984,-0.28260427433495905
Risk Parity,0.4115304635917736,0.33197129626173605,0.5490497574184583,0.7957351317655611,-0.5015987142317562
Market Cap,0.36074360380867043,0.2919910296679784,0.5592336932268881,0.7352600152080301,-0.5718752449436237
Momentum,0.7310483584973526,0.578329780036128,0.5746766142648625,1.082211382428592,-0.5156912000318534
