datetime,ETH,SOL,HYPE,BNB,AVAX,TRON,APTOS,SUI
2024-11-29 00:00:00,3579.2407862474997,237.65273808614407,6.512709126014327,654.5913158519834,42.90571576286416,0.20323800026201666,12.810708633883593,3.4477142095053273
2024-11-30 00:00:00,3598.1933212253616,243.70089664594224,6.512709126014327,654.771684845135,45.00028678584024,0.20457360768055266,13.322040668325348,3.4898833358290027
2024-12-01 00:00:00,3709.9094391073327,238.16347667858562,8.644603573199845,655.0341088639733,44.970877287421956,0.20528119313871235,13.41345159288901,3.4903215998391652
2024-12-02 00:00:00,3708.8072387383017,237.54718827599987,9.459223086748034,655.7348886381908,45.249819767941275,0.20712566303997176,13.47093473587795,3.4744090975703332
2024-12-03 00:00:00,3643.855375704235,225.5283610124218,8.43020480298621,647.1199397363577,52.08500792765977,0.22003292779616782,13.69558729486709,3.3920184479581406
2024-12-04 00:00:00,3625.7104579497204,234.99258635351788,11.16858001247626,740.0349367441655,51.22245178878033,0.4155898414393119,14.527664318048998,3.7102317955115223
2024-12-05 00:00:00,3839.443460715871,229.06669921453178,10.927396907589728,736.4426842404933,52.75443550741594,0.3287351491595864,14.085472028672301,3.6721064086966657
2024-12-06 00:00:00,3796.8688671601276,237.3008587229224,12.59259618742528,719.7623500626481,50.62186773905273,0.3227604152470211,13.66929983755274,4.220303251080122
2024-12-07 00:00:00,4013.726145388712,237.00646868253727,13.824764093589229,732.5424290130477,52.65717973028137,0.32519867874408537,14.701453164045716,4.220492383206244
2024-12-08 00:00:00,4000.992076502189,238.89329739813545,14.148295136918554,750.2454938747231,51.75753968442909,0.3195955715868737,14.610793157672147,4.260439774963818
2024-12-09 00:00:00,4015.7820212328807,237.57854563045439,14.188638965497068,745.3758374040211,54.18128862843605,0.32001732652706477,14.545758998887644,4.25330841413893
2024-12-10 00:00:00,3713.3138979971745,217.61737842270807,13.390810695266785,688.0073673187646,45.188716534228334,0.2619508553422545,11.983764247267118,3.825906764408686
2024-12-11 00:00:00,3626.5886417774996,213.52687206332865,13.878510532121165,675.4213801221093,44.59992962215368,0.2698088406575527,11.62811935886736,3.712431039384077
2024-12-12 00:00:00,3828.1075883404096,227.0731413756734,16.160291494319157,710.6900184753106,48.253354176983315,0.28211533273336387,12.918788457432344,4.372282471753663
2024-12-13 00:00:00,3878.850012073054,227.02574746034202,18.32086197907653,705.6789649754452,52.9365404488185,0.29676268017558793,13.616777481876039,4.620513668988369
2024-12-14 00:00:00,3907.4296595053356,224.59546331682483,19.445355374548534,726.77223065721,52.429972841330084,0.29047582729051047,14.230649394175979,4.743800545245708
2024-12-15 00:00:00,3866.9958020348054,219.871836259502,24.278950866911032,715.4486038130365,49.89083453054652,0.28213028984236244,13.406456813121464,4.460467011664585
2024-12-16 00:00:00,3961.3154661802305,224.53658892974883,24.06784264061239,722.5581932063777,51.00209739014211,0.28591313783487576,13.705536037496907,4.819895270092734
2024-12-17 00:00:00,3992.857195846062,216.51544960024825,27.451297316399142,720.6829341808788,49.137540655033504,0.2968710029961979,13.93318667962286,4.628558395977351
2024-12-18 00:00:00,3879.4062240100893,222.74032965988914,25.590526995880662,715.6520089733765,47.812573349860365,0.2789326702644762,12.90548390942377,4.636098451218198
2024-12-19 00:00:00,3628.2624780444953,205.36330239790396,23.166825060814343,687.6624331507581,42.8307932021572,0.2579808705890066,11.886844618438937,4.329300804992032
2024-12-20 00:00:00,3434.6754695380805,194.9019815694289,25.041541157512242,669.0228793928828,39.081346852291716,0.25198382162297256,11.436659831840656,4.092943477437273
2024-12-21 00:00:00,3468.658920056454,194.12198450453806,29.960485436304847,677.8485768483023,39.78166800407164,0.24853352310867916,10.850180753684798,4.564787326590686
